Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device
Standard,10,2022 Jul 27,United Kingdom,46,Female,Smartphone
Standard,14,2022 Jul 30,Australia,38,Male,Smartphone
Basic,11,2022 Aug 13,Germany,31,Female,Smart TV
Premium,14,2022 Aug 18,France,31,Female,Laptop
Basic,10,2022 Aug 24,Brazil,50,Male,Laptop
Standard,10,2022 Sep 08,Mexico,32,Male,Laptop
Premium,13,2022 Sep 04,Spain,38,Female,Smartphone
Basic,15,2022 Sep 04,Italy,37,Female,Laptop
Premium,12,2022 Sep 04,United States,36,Male,Smart TV
Basic,11,2022 Aug 27,Canada,30,Male,Smart TV
Standard,14,2022 Aug 25,United Kingdom,28,Male,Smart TV
Standard,13,2022 Aug 25,Australia,40,Male,Smartphone
Basic,14,2022 Sep 01,Germany,28,Female,Tablet
Premium,15,2022 Sep 13,France,37,Female,Laptop
Basic,15,2022 Oct 05,Brazil,30,Male,Smart TV
Standard,11,2022 Oct 08,Mexico,33,Female,Smart TV
Premium,11,2022 Oct 26,Spain,49,Male,Tablet
Basic,12,2022 Oct 18,Italy,36,Female,Smart TV
Premium,12,2022 Oct 07,United States,28,Female,Smartphone
Basic,10,2022 Sep 17,Canada,51,Male,Tablet
Standard,11,2022 Sep 18,United Kingdom,35,Female,Smartphone
Standard,14,2022 Sep 27,Australia,31,Male,Smart TV
Basic,13,2022 Sep 30,Germany,39,Male,Smartphone
Premium,10,2022 Oct 30,France,51,Female,Laptop
Basic,11,2022 Nov 09,Brazil,44,Male,Smartphone
Standard,11,2022 Nov 17,Mexico,41,Female,Smartphone
Premium,10,2022 Nov 18,Spain,28,Female,Laptop
Basic,15,2022 Nov 22,Italy,38,Male,Laptop
Premium,14,2022 Nov 22,Spain,43,Male,Smartphone
Basic,13,2022 Nov 21,Spain,38,Male,Smartphone
Standard,14,2022 Nov 10,United States,30,Male,Tablet
Standard,12,2022 Oct 21,Canada,32,Female,Laptop
Basic,11,2022 Oct 21,United States,35,Male,Smartphone
Premium,14,2022 Oct 23,United States,27,Male,Smart TV
Basic,15,2022 Oct 24,Canada,49,Female,Tablet
Standard,12,2022 Oct 23,United Kingdom,42,Female,Tablet
Premium,10,2022 Oct 21,Australia,40,Male,Smartphone
Basic,15,2022 Oct 06,Germany,43,Female,Tablet
Premium,11,2022 Jul 26,France,44,Female,Smart TV
Basic,15,2022 Jul 13,Brazil,32,Male,Tablet
Standard,10,2022 Jul 06,Mexico,50,Male,Tablet
Standard,14,2022 Jul 07,Spain,35,Male,Tablet
Basic,15,2022 Jul 01,Italy,44,Female,Laptop
Premium,14,2022 Jul 31,Spain,42,Female,Smart TV
Basic,12,2022 Aug 06,Spain,34,Female,Smart TV
Standard,15,2022 Aug 07,United States,37,Female,Tablet
Premium,10,2022 Aug 06,Canada,43,Male,Smartphone
Basic,13,2022 Aug 03,United States,32,Male,Smart TV
Basic,15,2022 Jun 18,United States,33,Female,Smart TV
Basic,14,2022 Jun 17,Canada,32,Female,Tablet
Standard,13,2022 Jun 07,United Kingdom,41,Male,Smartphone
Premium,15,2022 Jun 06,Australia,31,Male,Tablet
Basic,14,2022 Jun 04,Germany,44,Male,Tablet
Basic,11,2022 Jun 20,France,49,Male,Laptop
Premium,10,2022 Jul 10,Brazil,48,Female,Tablet
Standard,13,2022 Jul 13,Mexico,42,Female,Smartphone
Standard,11,2022 Jul 07,Spain,50,Female,Laptop
Basic,14,2022 Jun 22,Italy,49,Female,Smart TV
Premium,14,2022 Jun 15,Spain,30,Female,Laptop
Standard,11,2022 Jun 03,Spain,38,Male,Laptop
Basic,14,2022 Jun 04,United States,38,Male,Smartphone
Standard,11,2022 Jun 05,Canada,39,Female,Smart TV
Premium,15,2022 Jun 07,United States,42,Female,Laptop
Basic,10,2022 Jun 14,United States,28,Male,Smart TV
Premium,10,2022 Jun 17,Canada,38,Male,Smartphone
Standard,14,2022 Jun 19,United Kingdom,40,Female,Tablet
Basic,12,2022 Jul 02,Australia,30,Female,Tablet
Standard,10,2022 Jul 03,Germany,40,Male,Smartphone
Premium,10,2022 Jul 13,France,31,Male,Smart TV
Basic,14,2022 Jul 26,Brazil,41,Male,Smartphone
Standard,11,2022 Jul 27,Mexico,37,Male,Smartphone
Premium,14,2022 Aug 08,Spain,49,Male,Tablet
Basic,14,2022 Aug 17,Italy,29,Male,Smart TV
Premium,10,2022 Aug 20,Spain,31,Male,Smart TV
Basic,10,2022 Sep 05,Spain,39,Male,Tablet
Standard,12,2022 Sep 05,United States,51,Female,Smartphone
Standard,10,2022 Sep 05,Canada,38,Female,Smartphone
Basic,11,2022 Sep 06,United States,29,Female,Tablet
Premium,13,2022 Sep 03,United States,41,Female,Laptop
Basic,13,2022 Aug 29,Canada,48,Female,Tablet
Standard,14,2022 Aug 27,United Kingdom,39,Male,Smart TV
Premium,12,2022 Aug 29,Australia,37,Male,Smartphone
Basic,11,2022 Sep 13,Germany,37,Female,Smartphone
Premium,14,2022 Sep 24,France,34,Male,Smartphone
Basic,15,2022 Oct 05,Brazil,37,Male,Smartphone
Standard,14,2022 Oct 18,Mexico,37,Female,Smart TV
Standard,13,2022 Oct 19,Spain,51,Female,Tablet
Basic,15,2022 Oct 14,Italy,45,Male,Laptop
Premium,14,2022 Sep 30,Spain,29,Female,Laptop
Basic,14,2022 Sep 19,Spain,37,Male,Laptop
Standard,10,2022 Sep 24,United States,34,Male,Tablet
Premium,14,2022 Sep 28,Canada,35,Male,Smartphone
Basic,12,2022 Sep 29,United States,29,Male,Laptop
Premium,11,2022 Oct 11,United States,45,Male,Tablet
Basic,14,2022 Nov 08,Canada,36,Male,Smart TV
Standard,11,2022 Nov 16,United Kingdom,27,Female,Laptop
Standard,10,2022 Nov 17,Australia,31,Female,Laptop
Basic,10,2022 Nov 20,Germany,41,Female,Laptop
Premium,13,2022 Nov 21,France,37,Male,Smart TV
Basic,12,2022 Nov 21,Brazil,49,Female,Tablet
Standard,12,2022 Nov 18,Mexico,37,Female,Smart TV
Premium,14,2022 Oct 26,Spain,36,Female,Smartphone
Basic,13,2022 Oct 25,Italy,38,Female,Smart TV
Premium,15,2022 Oct 26,Spain,49,Female,Tablet
Basic,15,2022 Oct 23,Spain,31,Male,Laptop
Standard,13,2022 Oct 23,United States,29,Female,Laptop
Standard,12,2022 Oct 16,Canada,35,Female,Tablet
Basic,14,2022 Aug 09,United States,46,Female,Tablet
Premium,10,2022 Aug 02,United States,29,Female,Laptop
Basic,12,2022 Jul 16,Canada,43,Female,Laptop
Standard,15,2022 Jul 17,United Kingdom,38,Female,Tablet
Premium,14,2022 Jul 14,Australia,48,Female,Smart TV
Basic,14,2022 Jul 16,Germany,41,Male,Laptop
Premium,15,2022 Aug 06,France,51,Female,Laptop
Basic,14,2022 Aug 07,Brazil,39,Male,Smart TV
Standard,11,2022 Aug 07,Mexico,31,Male,Smartphone
Standard,15,2022 Aug 04,Spain,28,Male,Laptop
Basic,15,2022 Jul 29,Italy,47,Male,Laptop
Premium,14,2022 Jun 19,Spain,35,Female,Smart TV
Basic,15,2022 Jun 09,Spain,33,Male,Smartphone
Standard,11,2022 Jun 06,United States,41,Male,Smartphone
Premium,12,2022 Jun 06,Canada,38,Female,Smart TV
Basic,10,2022 Jun 11,United States,49,Male,Laptop
Basic,14,2022 Jun 18,United States,29,Female,Smart TV
Basic,13,2022 Jun 27,Canada,50,Male,Laptop
Standard,12,2022 Jul 05,United Kingdom,29,Female,Tablet
Premium,15,2022 Jul 06,Australia,44,Male,Smart TV
Basic,14,2022 Jun 16,Germany,36,Female,Smart TV
Basic,14,2022 Jun 05,France,46,Female,Smart TV
Premium,14,2022 Jun 05,Brazil,30,Male,Smartphone
Standard,15,2022 Jun 06,Mexico,46,Female,Tablet
Standard,15,2022 Jun 07,Spain,33,Male,Smartphone
Basic,15,2022 Jun 10,Italy,46,Female,Tablet
Premium,14,2022 Jun 13,Spain,50,Male,Tablet
Standard,14,2022 Jun 14,Spain,27,Female,Smart TV
Basic,12,2022 Jun 22,United States,48,Female,Smart TV
Standard,14,2022 Jul 03,Canada,50,Female,Smartphone
Premium,13,2022 Jul 05,United States,28,Female,Tablet
Basic,15,2022 Jul 11,United States,29,Female,Smartphone
Premium,11,2022 Jul 17,Canada,36,Male,Smart TV
Standard,12,2022 Jul 27,United Kingdom,51,Male,Laptop
Basic,15,2022 Aug 14,Australia,51,Male,Smartphone
Standard,13,2022 Aug 15,Germany,43,Male,Smart TV
Premium,14,2022 Sep 02,France,38,Female,Laptop
Basic,11,2022 Sep 05,Brazil,45,Female,Smartphone
Standard,10,2022 Sep 06,Mexico,28,Female,Smart TV
Premium,11,2022 Sep 06,Spain,27,Male,Smartphone
Basic,11,2022 Sep 05,Italy,41,Female,Smartphone
Premium,14,2022 Sep 06,Spain,49,Male,Smart TV
Basic,12,2022 Aug 29,Spain,35,Male,Smartphone
Standard,13,2022 Aug 30,United States,29,Female,Smart TV
Standard,10,2022 Sep 02,Canada,42,Male,Smartphone
Basic,15,2022 Sep 20,United States,33,Male,Tablet
Premium,10,2022 Sep 23,United States,30,Male,Laptop
Basic,11,2022 Sep 29,Canada,43,Female,Smart TV
Standard,10,2022 Oct 09,United Kingdom,42,Male,Smartphone
Premium,11,2022 Oct 12,Australia,39,Male,Tablet
Basic,15,2022 Oct 06,Germany,32,Female,Smart TV
Premium,14,2022 Sep 21,France,31,Male,Smartphone
Basic,13,2022 Sep 23,Brazil,39,Male,Smartphone
Standard,12,2022 Sep 28,Mexico,41,Female,Smartphone
Standard,12,2022 Sep 29,Spain,51,Female,Smart TV
Basic,13,2022 Oct 03,Italy,29,Male,Laptop
Premium,10,2022 Oct 28,Spain,33,Female,Smart TV
Basic,12,2022 Nov 14,Spain,51,Female,Tablet
Standard,11,2022 Nov 16,United States,38,Male,Tablet
Premium,10,2022 Nov 17,Canada,37,Female,Laptop
Basic,13,2022 Nov 20,United States,50,Female,Laptop
Premium,12,2022 Nov 21,United States,33,Male,Tablet
Basic,11,2022 Nov 19,Canada,27,Male,Laptop
Standard,11,2022 Oct 28,United Kingdom,50,Female,Smartphone
Standard,15,2022 Oct 27,Australia,47,Female,Laptop
Basic,13,2022 Oct 27,Germany,41,Male,Laptop
Premium,10,2022 Oct 27,France,49,Female,Laptop
Basic,15,2022 Oct 25,Brazil,32,Male,Smart TV
Standard,10,2022 Oct 17,Mexico,38,Female,Smartphone
Premium,14,2022 Aug 20,Spain,38,Female,Smartphone
Basic,15,2022 Aug 16,Italy,28,Female,Smart TV
Premium,13,2022 Aug 15,Spain,31,Male,Tablet
Basic,14,2022 Aug 15,Spain,39,Female,Smartphone
Standard,11,2022 Jul 29,United States,28,Female,Smartphone
Standard,12,2022 Jul 17,Canada,30,Female,Smartphone
Basic,11,2022 Jul 26,United States,42,Male,Tablet
Premium,14,2022 Jul 31,United States,33,Female,Laptop
Basic,14,2022 Aug 03,Canada,34,Female,Smart TV
Standard,13,2022 Aug 04,United Kingdom,49,Female,Smart TV
Premium,13,2022 Aug 03,Australia,41,Male,Laptop
Basic,12,2022 Jun 27,Germany,28,Male,Smart TV
Premium,14,2022 Jun 27,France,49,Female,Laptop
Basic,15,2022 Jun 15,Brazil,49,Male,Tablet
Standard,11,2022 Jun 13,Mexico,36,Male,Tablet
Standard,11,2022 Jun 12,Spain,31,Male,Smart TV
Basic,10,2022 Jun 18,Italy,38,Male,Smartphone
Premium,15,2022 Jun 26,Spain,34,Female,Tablet
Basic,11,2022 Jun 30,Spain,51,Female,Smartphone
Standard,13,2022 Jul 03,United States,49,Male,Smart TV
Premium,13,2022 Jun 19,Canada,27,Female,Tablet
Basic,10,2022 Jun 08,United States,38,Male,Smart TV
Basic,10,2022 Jun 08,United States,51,Male,Tablet
Basic,14,2022 Jun 09,Canada,47,Female,Tablet
Standard,15,2022 Jun 09,United Kingdom,37,Male,Smartphone
Premium,13,2022 Jun 10,Australia,37,Female,Laptop
Basic,11,2022 Jun 11,Germany,39,Female,Tablet
Basic,11,2022 Jun 13,France,31,Male,Smartphone
Premium,13,2022 Jun 17,Brazil,36,Male,Smart TV
Standard,15,2022 Jun 27,Mexico,42,Female,Smart TV
Standard,11,2022 Jul 05,Spain,49,Male,Laptop
Basic,15,2022 Jul 07,Italy,44,Female,Laptop
Premium,11,2022 Jul 16,Spain,33,Male,Laptop
Standard,11,2022 Jul 23,Spain,42,Male,Tablet
Basic,13,2022 Aug 03,United States,39,Male,Smartphone
Standard,10,2022 Aug 11,Canada,49,Male,Smartphone
Premium,12,2022 Aug 15,United States,31,Male,Smartphone
Basic,14,2022 Aug 18,United States,37,Male,Tablet
Premium,13,2022 Aug 26,Canada,30,Female,Tablet
Standard,10,2022 Sep 03,United Kingdom,42,Male,Smartphone
Basic,15,2022 Sep 04,Australia,37,Female,Smart TV
Standard,15,2022 Sep 05,Germany,36,Male,Laptop
Premium,11,2022 Sep 01,France,28,Female,Laptop
Basic,15,2022 Aug 31,Brazil,36,Male,Tablet
Standard,14,2022 Sep 01,Mexico,31,Female,Tablet
Premium,14,2022 Sep 17,Spain,46,Male,Smart TV
Basic,13,2022 Sep 21,Italy,28,Male,Laptop
Premium,15,2022 Sep 29,Spain,31,Male,Tablet
Basic,12,2022 Oct 06,Spain,43,Male,Smart TV
Standard,10,2022 Oct 12,United States,28,Male,Laptop
Standard,13,2022 Oct 07,Canada,32,Female,Smartphone
Basic,12,2022 Oct 04,United States,31,Female,Laptop
Premium,11,2022 Sep 24,United States,45,Male,Smart TV
Basic,14,2022 Sep 25,Canada,36,Male,Smartphone
Standard,14,2022 Sep 27,United Kingdom,35,Male,Laptop
Premium,13,2022 Sep 30,Australia,27,Female,Tablet
Basic,13,2022 Oct 04,Germany,32,Male,Laptop
Premium,12,2022 Oct 24,France,46,Female,Smartphone
Basic,12,2022 Oct 28,Brazil,36,Male,Smart TV
Standard,13,2022 Nov 02,Mexico,39,Male,Laptop
Standard,12,2022 Nov 07,Spain,48,Female,Smart TV
Basic,10,2022 Nov 10,Italy,48,Female,Smart TV
Premium,14,2022 Nov 15,Spain,27,Female,Laptop
Basic,13,2022 Nov 08,Spain,45,Male,Tablet
Standard,10,2022 Nov 01,United States,30,Male,Laptop
Premium,15,2022 Oct 30,Canada,29,Male,Tablet
Basic,12,2022 Oct 28,United States,43,Female,Laptop
Premium,10,2022 Oct 26,United States,43,Male,Laptop
Basic,15,2022 Oct 18,Canada,39,Female,Tablet
Standard,14,2022 Sep 30,United Kingdom,27,Male,Tablet
Standard,10,2022 Sep 03,Australia,33,Female,Tablet
Basic,10,2022 Aug 23,Germany,32,Female,Tablet
Premium,10,2022 Aug 16,France,37,Female,Tablet
Basic,13,2022 Aug 11,Brazil,45,Male,Smartphone
Standard,10,2022 Aug 01,Mexico,40,Female,Smartphone
Premium,14,2022 Aug 01,Spain,44,Male,Laptop
Basic,12,2022 Aug 01,Italy,29,Female,Tablet
Premium,14,2022 Aug 02,Spain,50,Male,Laptop
Basic,11,2022 Aug 04,Spain,32,Female,Laptop
Standard,14,2022 Aug 04,United States,39,Male,Laptop
Standard,15,2022 Jul 07,Canada,43,Female,Smartphone
Basic,12,2022 Jun 27,United States,49,Female,Smartphone
Premium,13,2022 Jun 19,United States,30,Male,Tablet
Basic,12,2022 Jun 19,Canada,47,Male,Tablet
Standard,10,2022 Jun 18,United Kingdom,51,Female,Laptop
Premium,14,2022 Jun 19,Australia,40,Male,Tablet
Basic,14,2022 Jun 24,Germany,40,Male,Laptop
Premium,11,2022 Jun 30,France,49,Male,Smartphone
Basic,15,2022 Jul 02,Brazil,43,Female,Tablet
Standard,14,2022 Jun 26,Mexico,44,Female,Smartphone
Standard,13,2022 Jun 21,Spain,27,Male,Smartphone
Basic,14,2022 Jun 16,Italy,30,Male,Tablet
Premium,14,2022 Jun 09,Spain,47,Male,Smart TV
Basic,13,2022 Jun 10,Spain,51,Male,Smartphone
Standard,15,2022 Jun 10,United States,31,Female,Laptop
Premium,13,2022 Jun 11,Canada,34,Female,Tablet
Basic,11,2022 Jun 12,United States,28,Female,Laptop
Basic,15,2022 Jun 15,United States,32,Male,Smartphone
Basic,11,2022 Jun 25,Canada,41,Male,Smart TV
Standard,13,2022 Jun 30,United Kingdom,40,Male,Smart TV
Premium,12,2022 Jul 06,Australia,46,Male,Smart TV
Basic,13,2022 Jul 09,Germany,47,Male,Smart TV
Basic,14,2022 Jul 18,France,45,Female,Laptop
Premium,10,2022 Jul 24,Brazil,28,Female,Smartphone
Standard,12,2022 Jul 27,Mexico,43,Female,Smartphone
Standard,11,2022 Aug 10,Spain,41,Male,Laptop
Basic,13,2022 Aug 16,Italy,32,Male,Tablet
Premium,14,2022 Aug 23,Spain,44,Female,Smartphone
Standard,11,2022 Sep 03,Spain,32,Male,Laptop
Basic,12,2022 Sep 04,United States,47,Male,Laptop
Standard,14,2022 Sep 05,Canada,37,Male,Smart TV
Premium,13,2022 Sep 04,United States,40,Female,Smartphone
Basic,11,2022 Aug 31,United States,48,Female,Smart TV
Premium,10,2022 Sep 01,Canada,48,Male,Laptop
Standard,10,2022 Sep 15,United Kingdom,35,Male,Laptop
Basic,15,2022 Sep 18,Australia,28,Male,Smart TV
Standard,11,2022 Sep 28,Germany,35,Female,Smart TV
Premium,13,2022 Sep 30,France,43,Male,Smartphone
Basic,15,2022 Oct 07,Brazil,39,Male,Laptop
Standard,10,2022 Oct 08,Mexico,38,Female,Laptop
Premium,14,2022 Oct 08,Spain,36,Female,Smart TV
Basic,11,2022 Oct 03,Italy,42,Female,Laptop
Premium,14,2022 Oct 04,Spain,27,Male,Tablet
Basic,12,2022 Oct 02,Spain,48,Male,Laptop
Standard,13,2022 Oct 01,United States,27,Female,Smart TV
Standard,15,2022 Oct 03,Canada,49,Male,Smartphone
Basic,11,2022 Oct 20,United States,29,Male,Tablet
Premium,11,2022 Oct 21,United States,44,Male,Laptop
Basic,11,2022 Oct 28,Canada,31,Male,Smartphone
Standard,13,2022 Nov 03,United Kingdom,33,Male,Tablet
Premium,10,2022 Nov 07,Australia,36,Female,Smart TV
Basic,15,2022 Nov 12,Germany,43,Female,Laptop
Premium,14,2022 Nov 13,France,30,Female,Smartphone
Basic,13,2022 Nov 02,Brazil,44,Female,Laptop
Standard,13,2022 Nov 01,Mexico,37,Female,Laptop
Standard,14,2022 Oct 31,Spain,27,Male,Laptop
Basic,12,2022 Oct 28,Italy,35,Female,Laptop
Premium,13,2022 Oct 24,Spain,32,Male,Smart TV
Basic,12,2022 Oct 03,Spain,49,Female,Laptop
Standard,12,2022 Sep 13,United States,45,Female,Tablet
Premium,11,2022 Sep 02,Canada,33,Female,Smartphone
Basic,14,2022 Aug 30,United States,37,Female,Smartphone
Premium,15,2022 Aug 25,United States,29,Male,Smartphone
Basic,12,2022 Aug 11,Canada,45,Male,Smart TV
Standard,11,2022 Aug 05,United Kingdom,42,Female,Smartphone
Standard,12,2022 Aug 02,Australia,32,Female,Smart TV
Basic,11,2022 Aug 03,Germany,47,Male,Smartphone
Premium,12,2022 Aug 04,France,27,Male,Smart TV
Basic,10,2022 Aug 05,Brazil,35,Male,Tablet
Standard,15,2022 Jul 12,Mexico,35,Male,Laptop
Premium,10,2022 Jul 02,Spain,48,Male,Tablet
Basic,12,2022 Jun 26,Italy,36,Male,Smartphone
Premium,10,2022 Jun 22,Spain,46,Male,Smartphone
Basic,13,2022 Jun 22,Spain,33,Female,Smartphone
Standard,14,2022 Jun 19,United States,43,Male,Smart TV
Standard,14,2022 Jun 22,Canada,47,Female,Smartphone
Basic,15,2022 Jun 27,United States,39,Female,Laptop
Premium,15,2022 Jul 01,United States,30,Female,Laptop
Basic,11,2022 Jun 28,Canada,46,Male,Tablet
Standard,13,2022 Jun 25,United Kingdom,39,Male,Smart TV
Premium,10,2022 Jun 22,Australia,28,Male,Smartphone
Basic,13,2022 Jun 09,Germany,38,Male,Smartphone
Premium,13,2022 Jun 10,France,36,Male,Laptop
Basic,15,2022 Jun 11,Brazil,33,Male,Laptop
Standard,10,2022 Jun 11,Mexico,50,Male,Smartphone
Standard,10,2022 Jun 12,Spain,38,Male,Smartphone
Basic,15,2022 Jun 13,Italy,29,Male,Smartphone
Premium,15,2022 Jun 18,Spain,47,Female,Smart TV
Basic,15,2022 Jun 29,Spain,31,Female,Tablet
Standard,13,2022 Jun 30,United States,40,Male,Tablet
Premium,14,2022 Jul 01,Canada,50,Male,Laptop
Basic,11,2022 Jul 07,United States,43,Female,Tablet
Basic,12,2022 Jul 13,United States,35,Female,Laptop
Basic,11,2022 Jul 24,Canada,36,Male,Laptop
Standard,15,2022 Jul 29,United Kingdom,30,Male,Smartphone
Premium,13,2022 Jul 31,Australia,47,Female,Smartphone
Basic,12,2022 Aug 09,Germany,30,Female,Laptop
Basic,11,2022 Aug 18,France,37,Male,Smart TV
Premium,15,2022 Aug 20,Brazil,34,Male,Smartphone
Standard,15,2022 Aug 30,Mexico,33,Female,Smart TV
Standard,10,2022 Sep 01,Spain,31,Male,Tablet
Basic,13,2022 Sep 02,Italy,30,Female,Smartphone
Premium,10,2022 Sep 02,Spain,35,Male,Smartphone
Standard,14,2022 Sep 15,Spain,40,Female,Tablet
Basic,13,2022 Sep 17,United States,29,Male,Smartphone
Standard,14,2022 Sep 26,Canada,34,Female,Smart TV
Premium,12,2022 Sep 27,United States,31,Male,Laptop
Basic,15,2022 Oct 04,United States,28,Male,Laptop
Premium,12,2022 Oct 06,Canada,46,Female,Smart TV
Standard,11,2022 Oct 07,United Kingdom,38,Male,Smartphone
Basic,13,2022 Oct 06,Australia,35,Female,Laptop
Standard,15,2022 Oct 07,Germany,49,Male,Smartphone
Premium,13,2022 Oct 06,France,42,Male,Smartphone
Basic,14,2022 Oct 06,Brazil,37,Female,Laptop
Standard,13,2022 Oct 04,Mexico,39,Female,Smartphone
Premium,10,2022 Oct 14,Spain,47,Female,Smart TV
Basic,12,2022 Oct 19,Italy,49,Male,Smartphone
Premium,12,2022 Oct 21,Spain,35,Male,Laptop
Basic,11,2022 Oct 28,Spain,36,Female,Smart TV
Standard,11,2022 Nov 01,United States,40,Male,Tablet
Standard,10,2022 Nov 12,Canada,30,Female,Smart TV
Basic,13,2022 Nov 13,United States,51,Female,Smart TV
Premium,15,2022 Nov 09,United States,47,Male,Laptop
Basic,12,2022 Nov 08,Canada,47,Female,Laptop
Standard,14,2022 Nov 06,United Kingdom,39,Male,Tablet
Premium,10,2022 Nov 07,Australia,49,Male,Smart TV
Basic,12,2022 Nov 02,Germany,33,Male,Laptop
Premium,10,2022 Oct 06,France,32,Female,Smart TV
Basic,15,2022 Sep 16,Brazil,40,Male,Smartphone
Standard,14,2022 Sep 10,Mexico,40,Female,Laptop
Standard,12,2022 Sep 04,Spain,51,Female,Tablet
Basic,13,2022 Aug 26,Italy,50,Male,Smart TV
Premium,14,2022 Aug 14,Spain,50,Female,Smart TV
Basic,14,2022 Aug 12,Spain,47,Male,Smartphone
Standard,12,2022 Aug 10,United States,35,Male,Laptop
Premium,11,2022 Aug 10,Canada,31,Male,Tablet
Basic,15,2022 Aug 04,United States,36,Male,Smartphone
Premium,10,2022 Aug 05,United States,41,Female,Smart TV
Basic,13,2022 Jul 17,Canada,49,Female,Tablet
Standard,12,2022 Jul 16,United Kingdom,34,Female,Tablet
Standard,15,2022 Jul 13,Australia,30,Female,Tablet
Basic,13,2022 Jul 03,Germany,38,Male,Laptop
Premium,11,2022 Jun 24,France,45,Male,Tablet
Basic,14,2022 Jun 21,Brazil,42,Female,Laptop
Standard,10,2022 Jun 22,Mexico,42,Female,Smart TV
Premium,10,2022 Jun 23,Spain,31,Male,Smart TV
Basic,14,2022 Jun 26,Italy,28,Male,Smart TV
Premium,11,2022 Jun 27,Spain,44,Male,Tablet
Basic,13,2022 Jun 28,Spain,30,Male,Smart TV
Standard,13,2022 Jun 28,United States,33,Male,Smartphone
Standard,12,2022 Jun 18,Canada,42,Female,Tablet
Basic,11,2022 Jun 11,United States,31,Male,Smart TV
Premium,11,2022 Jun 11,United States,31,Female,Smartphone
Basic,13,2022 Jun 12,Canada,46,Female,Smart TV
Standard,15,2022 Jun 13,United Kingdom,28,Female,Tablet
Premium,11,2022 Jun 13,Australia,50,Male,Tablet
Basic,11,2022 Jun 18,Germany,34,Male,Tablet
Premium,15,2022 Jun 23,France,45,Female,Smart TV
Basic,12,2022 Jun 26,Brazil,38,Female,Laptop
Standard,13,2022 Jun 29,Mexico,42,Female,Laptop
Standard,10,2022 Jul 02,Spain,45,Female,Smartphone
Basic,10,2022 Jul 06,Italy,44,Male,Smart TV
Premium,14,2022 Jul 18,Spain,50,Female,Smart TV
Basic,15,2022 Jul 29,Spain,38,Male,Tablet
Standard,13,2022 Jul 30,United States,42,Female,Smart TV
Premium,13,2022 Aug 03,Canada,50,Male,Smart TV
Basic,10,2022 Aug 15,United States,30,Male,Smartphone
Basic,10,2022 Aug 20,United States,47,Female,Smartphone
Basic,14,2022 Aug 21,Canada,32,Female,Laptop
Standard,11,2022 Aug 30,United Kingdom,31,Female,Tablet
Premium,15,2022 Sep 01,Australia,37,Male,Laptop
Basic,14,2022 Sep 02,Germany,32,Female,Smartphone
Basic,12,2022 Sep 04,France,29,Male,Smartphone
Premium,12,2022 Sep 10,Brazil,28,Male,Tablet
Standard,11,2022 Sep 25,Mexico,42,Male,Laptop
Standard,12,2022 Sep 27,Spain,37,Male,Tablet
Basic,13,2022 Oct 01,Italy,38,Female,Laptop
Premium,13,2022 Oct 06,Spain,32,Male,Smart TV
Standard,15,2022 Oct 07,Spain,48,Male,Laptop
Basic,13,2022 Oct 08,United States,46,Female,Smart TV
Standard,14,2022 Oct 08,Canada,30,Male,Tablet
Premium,10,2022 Oct 08,United States,40,Female,Smart TV
Basic,13,2022 Oct 08,United States,29,Male,Smart TV
Premium,15,2022 Oct 08,Canada,41,Male,Tablet
Standard,15,2022 Oct 10,United Kingdom,32,Male,Laptop
Basic,12,2022 Oct 19,Australia,44,Female,Smart TV
Standard,15,2022 Oct 20,Germany,41,Male,Laptop
Premium,12,2022 Oct 26,France,50,Female,Smartphone
Basic,14,2022 Oct 29,Brazil,33,Female,Tablet
Standard,10,2022 Oct 31,Mexico,34,Female,Smart TV
Premium,15,2022 Nov 11,Spain,40,Male,Smartphone
Basic,14,2022 Nov 09,Italy,34,Female,Tablet
Premium,14,2022 Nov 09,Spain,27,Female,Smart TV
Basic,13,2022 Nov 07,Spain,34,Male,Tablet
Standard,13,2022 Nov 08,United States,28,Male,Tablet
Standard,14,2022 Nov 05,Canada,37,Female,Smart TV
Basic,10,2022 Oct 25,United States,27,Female,Laptop
Premium,13,2022 Oct 23,United States,33,Female,Laptop
Basic,11,2022 Oct 20,Canada,42,Male,Laptop
Standard,11,2022 Oct 14,United Kingdom,49,Male,Smartphone
Premium,13,2022 Aug 29,Australia,44,Male,Smart TV
Basic,10,2022 Aug 18,Germany,47,Male,Laptop
Premium,13,2022 Aug 13,France,33,Male,Laptop
Basic,11,2022 Aug 11,Brazil,37,Male,Smart TV
Standard,10,2022 Aug 11,Mexico,35,Male,Laptop
Standard,11,2022 Aug 06,Spain,34,Female,Smartphone
Basic,10,2022 Aug 07,Italy,44,Male,Smartphone
Premium,15,2022 Jul 18,Spain,29,Male,Tablet
Basic,10,2022 Jul 17,Spain,38,Male,Smartphone
Standard,14,2022 Jul 15,United States,46,Male,Smart TV
Premium,10,2022 Jul 14,Canada,29,Male,Tablet
Basic,12,2022 Jun 26,United States,48,Female,Smart TV
Premium,10,2022 Jun 26,United States,36,Male,Smart TV
Basic,12,2022 Jun 22,Canada,43,Male,Laptop
Standard,15,2022 Jun 23,United Kingdom,42,Female,Smart TV
Standard,10,2022 Jun 24,Australia,50,Male,Tablet
Basic,13,2022 Jun 26,Germany,39,Male,Laptop
